Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Liu J., Zhuang Y., Chen Y.","55523992200;7202294500;55888835700;","Hierarchical Collective I/O Scheduling for High-Performance Computing",2015,"Big Data Research","2","3",,"117","126",,6,"10.1016/j.bdr.2015.01.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955250490&doi=10.1016%2fj.bdr.2015.01.007&partnerID=40&md5=93f3fd2f8915165368b4013ab0768856","Department of Computer Science, Texas Tech University, Lubbock, TX, United States","Liu, J., Department of Computer Science, Texas Tech University, Lubbock, TX, United States; Zhuang, Y., Department of Computer Science, Texas Tech University, Lubbock, TX, United States; Chen, Y., Department of Computer Science, Texas Tech University, Lubbock, TX, United States","Big data; Collective I/O; Data intensive computing; High-performance computing; Scheduling",,Article,"Final",Open Access,Scopus,2-s2.0-84955250490
"Diamantoulakis P.D., Kapinas V.M., Karagiannidis G.K.","55937296800;24483685900;7004027126;","Big Data Analytics for Dynamic Energy Management in Smart Grids",2015,"Big Data Research","2","3",,"94","101",,95,"10.1016/j.bdr.2015.03.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945309893&doi=10.1016%2fj.bdr.2015.03.003&partnerID=40&md5=2c7db47594b9602029c38652124f5c42","Department of Electrical and Computer Engineering, Khalifa University, Abu Dhabi, 127788, United Arab Emirates; Department of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, GR-54124, Greece","Diamantoulakis, P.D., Department of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, GR-54124, Greece; Kapinas, V.M., Department of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, GR-54124, Greece; Karagiannidis, G.K., Department of Electrical and Computer Engineering, Khalifa University, Abu Dhabi, 127788, United Arab Emirates, Department of Electrical and Computer Engineering, Aristotle University of Thessaloniki, Thessaloniki, GR-54124, Greece","Artificial intelligence; Big data; Dynamic energy management; High performance computing; Predictive analytics; Smart grids",,Article,"Final",,Scopus,2-s2.0-84945309893
"Cheong H., Park J.S.","57196055228;53871831600;","How do consumers in the web 2.0 era get information? social media users’ use of and reliance on traditional media",2015,"Journal of Marketing Analytics","3","3", BFjma20159,"135","146",,,"10.1057/jma.2015.9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031500647&doi=10.1057%2fjma.2015.9&partnerID=40&md5=77b1dfabc75f4f9b1c515966925ae8b4","Department of Communication, University of Scranton, United States; Mass Communication, National University, South Korea","Cheong, H., Department of Communication, University of Scranton, United States; Park, J.S., Mass Communication, National University, South Korea","Secondary data; Social media; Traditional media; User-generated content",,Article,"Final",,Scopus,2-s2.0-85031500647
"Sikkel D., van Meer G.J.L.","6507539869;12244780500;","Stickiness: The value of saved money",2015,"Journal of Marketing Analytics","3","3", BFjma201513,"147","158",,1,"10.1057/jma.2015.13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031492708&doi=10.1057%2fjma.2015.13&partnerID=40&md5=3dd64b38c8e220b79be825bc65d8886a","Statistics Netherlands and at the marketing research firm Research International Nederland, Netherlands; RTL – RTL","Sikkel, D., Statistics Netherlands and at the marketing research firm Research International Nederland, Netherlands; van Meer, G.J.L., RTL – RTL","Asset value; Lifetime customer value; Loyalty; Saving account",,Article,"Final",,Scopus,2-s2.0-85031492708
"Williams C., Williams R.","57196058184;57196058669;","Optimizing acquisition and retention spending to maximize market share",2015,"Journal of Marketing Analytics","3","3", BFjma201511,"159","170",,2,"10.1057/jma.2015.11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024486120&doi=10.1057%2fjma.2015.11&partnerID=40&md5=7a19adbf7ce62d08b6956a1dd8d486c9","James Madison University, United States; Keysight Technologies, United States","Williams, C., James Madison University, United States; Williams, R., Keysight Technologies, United States","Acquisition; Decision calculus; Market share; Retention",,Article,"Final",,Scopus,2-s2.0-85024486120
"Koosha H., Albadvi A.","37117110200;6505785124;","Customer lifetime valuation using real options analysis",2015,"Journal of Marketing Analytics","3","3", BFjma201512,"122","134",,2,"10.1057/jma.2015.12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019583273&doi=10.1057%2fjma.2015.12&partnerID=40&md5=a363b8ccdb9fdf3e9797644f843e220b","Ferdowsi University of Mashhad, Iran; Sharif University of Technology, Iran","Koosha, H., Ferdowsi University of Mashhad, Iran; Albadvi, A., Sharif University of Technology, Iran","Customer development; Customer equity (CE); Customer lifetime value (CLV); Market penetration; Real options",,Article,"Final",,Scopus,2-s2.0-85019583273
"Hosseini M., Shabani M.","56582666500;57196058647;","New approach to customer segmentation based on changes in customer value",2015,"Journal of Marketing Analytics","3","3", BFjma201510,"110","121",,5,"10.1057/jma.2015.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009147613&doi=10.1057%2fjma.2015.10&partnerID=40&md5=9f7b5941a487e03a52b4c655438133ab","Industrial Engineering Faculty, K.N. Toosi University of Technology, Iran","Hosseini, M., Industrial Engineering Faculty, K.N. Toosi University of Technology, Iran; Shabani, M., Industrial Engineering Faculty, K.N. Toosi University of Technology, Iran","Customer lifetime value; RFM model; Segmentation; Temporal data mining",,Article,"Final",,Scopus,2-s2.0-85009147613
"Foroughi A., Yan G., Shi H., Chong D.","6603593633;57204765296;57207367695;56204894600;","A Web 3.0 ontology based on similarity: a step toward facilitating learning in the Big Data age",2015,"Journal of Management Analytics","2","3",,"216","232",,3,"10.1080/23270012.2015.1067154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042114327&doi=10.1080%2f23270012.2015.1067154&partnerID=40&md5=23dcaf4b263cb035cefdba288bf868e2","College of Business, University of Southern Indiana, Evansville, United States; Strome College of Business, Old Dominion University, Norfolk, United States","Foroughi, A., College of Business, University of Southern Indiana, Evansville, United States; Yan, G., College of Business, University of Southern Indiana, Evansville, United States; Shi, H., College of Business, University of Southern Indiana, Evansville, United States; Chong, D., Strome College of Business, Old Dominion University, Norfolk, United States","Big Data; business analytics; connectivism; learning resources; learning theory; ontology; Semantic Web; similarity; Web 3.0",,Article,"Final",,Scopus,2-s2.0-85042114327
"Qabajeh I., Thabtah F., Chiclana F.","56600873600;8349253300;9134178600;","A dynamic rule-induction method for classification in data mining",2015,"Journal of Management Analytics","2","3",,"233","253",,16,"10.1080/23270012.2015.1090889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030213571&doi=10.1080%2f23270012.2015.1090889&partnerID=40&md5=c707605f29c628da98edd472d14359ae","E-Business Department, Canadian University of Dubai, Dubai, United Arab Emirates; Computing and Informatics Department, De Montfort University, Leicester, United Kingdom; Centre for Computational Intelligence, De Montfort University, Leicester, United Kingdom","Qabajeh, I., E-Business Department, Canadian University of Dubai, Dubai, United Arab Emirates; Thabtah, F., Computing and Informatics Department, De Montfort University, Leicester, United Kingdom; Chiclana, F., Centre for Computational Intelligence, De Montfort University, Leicester, United Kingdom","classification rules; data mining; expected accuracy; rule induction",,Article,"Final",,Scopus,2-s2.0-85030213571
"Palanivel M., Priyan S., Uthayakumar R.","55875997300;49362141500;16308387000;","An inventory model with finite replenishment, probabilistic deterioration and permissible delay in payments",2015,"Journal of Management Analytics","2","3",,"254","279",,6,"10.1080/23270012.2015.1039612","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013886136&doi=10.1080%2f23270012.2015.1039612&partnerID=40&md5=d5c3f9b5da364943ac3d09d88bb887f0","Department of Mathematics, The Gandhigram Rural Institute–Deemed University, Gandhigram–624 302, Dindigul, Tamil Nadu, India","Palanivel, M., Department of Mathematics, The Gandhigram Rural Institute–Deemed University, Gandhigram–624 302, Dindigul, Tamil Nadu, India; Priyan, S., Department of Mathematics, The Gandhigram Rural Institute–Deemed University, Gandhigram–624 302, Dindigul, Tamil Nadu, India; Uthayakumar, R., Department of Mathematics, The Gandhigram Rural Institute–Deemed University, Gandhigram–624 302, Dindigul, Tamil Nadu, India","inventory; probabilistic deterioration; trade credit",,Article,"Final",,Scopus,2-s2.0-85013886136
